ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
2024-12-16 10:09:20.118252039,Cpai2o3vlVNdNST83f,fe80::2605:4ff9:fc77:aafc,5353,ff02::fb,5353,udp,dns,,,,S0,T,F,0,D,1,165,0,0,
2024-12-16 10:09:20.130744934,Cw80OF3U2PGQ79s5i3,192.168.28.229,5353,224.0.0.251,5353,udp,dns,,,,S0,T,F,0,D,1,197,0,0,
2024-12-16 10:09:07.989304066,C0N5lo11H5WrbJfeZ1,fe80::1001:16db:2a8b:ffdc,5353,ff02::fb,5353,udp,dns,0 days 00:00:13.006485,781,0,S0,T,F,0,D,4,973,0,0,
2024-12-16 10:09:07.989228964,C5mmhXNWDws5yiTab,192.168.28.211,5353,224.0.0.251,5353,udp,dns,0 days 00:00:13.006490,781,0,S0,T,F,0,D,4,893,0,0,
2024-12-16 10:08:42.593697071,C6yFy3QpiAUCqggNi,192.168.28.11,51332,255.255.255.255,8610,udp,,0 days 00:00:00.000054,32,0,S0,T,T,0,D,2,88,0,0,
2024-12-16 10:08:46.382179022,C9jgyw4gkEHW3P6l9d,192.168.28.208,50184,255.255.255.255,8610,udp,,0 days 00:00:00.000013,32,0,S0,T,T,0,D,2,88,0,0,
2024-12-16 10:09:40.655747890,C67wJ2178UdTJKmhMl,192.168.28.212,5353,224.0.0.251,5353,udp,dns,,,,S0,T,F,0,D,1,57,0,0,
2024-12-16 10:09:40.655843973,Cw4Cvy22WqzemCqzH5,fe80::1c57:4241:2595:e5c9,5353,ff02::fb,5353,udp,dns,,,,S0,T,F,0,D,1,77,0,0,
2024-12-16 10:09:40.655859947,CoInKI31xwBiGJUqt6,192.168.28.237,5353,224.0.0.251,5353,udp,dns,,,,S0,T,F,0,D,1,67,0,0,
2024-12-16 10:09:48.030215979,CHjRus1dL6iIW9Xtye,192.168.28.211,5353,224.0.0.251,5353,udp,dns,,,,S0,T,F,0,D,1,69,0,0,
2024-12-16 10:09:48.030276060,CAIOil1rpL2AKYRLd8,fe80::1001:16db:2a8b:ffdc,5353,ff02::fb,5353,udp,dns,,,,S0,T,F,0,D,1,89,0,0,
2024-12-16 10:09:51.000332117,CdD2cN1bNOtDH8xzR3,fe80::1425:9348:2e9:e677,5353,ff02::fb,5353,udp,dns,0 days 00:00:03.993410,476,0,S0,T,F,0,D,3,620,0,0,
2024-12-16 10:09:51.000252962,CHba7S1eHTDR3U814k,192.168.28.17,5353,224.0.0.251,5353,udp,dns,0 days 00:00:03.993433,476,0,S0,T,F,0,D,3,560,0,0,
2024-12-16 10:09:13.620522022,CHDbFl216ROWKyMwi5,192.168.28.1,5678,255.255.255.255,5678,udp,,,,,S0,T,T,0,D,1,155,0,0,
2024-12-16 10:09:14.338854074,C90ZpY37NSciCvH7U5,192.168.28.11,55605,255.255.255.255,8610,udp,,0 days 00:00:00.000050,32,0,S0,T,T,0,D,2,88,0,0,
2024-12-16 10:09:18.023966074,C9KpKo4DEUcDsZSif9,192.168.28.208,53425,255.255.255.255,8610,udp,,0 days 00:00:00.000049,32,0,S0,T,T,0,D,2,88,0,0,
2024-12-16 10:10:08.818943977,CSAk8t2qrmzBa1BWzf,192.168.28.30,5353,224.0.0.251,5353,udp,dns,0 days 00:00:00.716998,615,0,S0,T,F,0,D,6,783,0,0,
2024-12-16 10:10:08.819021940,CHyzCP3d2Ds9uqhq74,fe80::d35b:52df:37f8:de38,5353,ff02::fb,5353,udp,dns,0 days 00:00:00.716968,615,0,S0,T,F,0,D,6,903,0,0,
2024-12-16 10:10:03.802162886,CBXV2B3eXU7ufJtLPd,192.168.28.25,5353,224.0.0.251,5353,udp,dns,0 days 00:00:03.991481,348,0,S0,T,F,0,D,3,432,0,0,
2024-12-16 10:10:03.802201986,C63LyUE3lpnejEuRb,fe80::10c1:6dde:581e:e273,5353,ff02::fb,5353,udp,dns,0 days 00:00:03.991501,348,0,S0,T,F,0,D,3,492,0,0,
2024-12-16 10:10:05.950970888,CfWBeN2Yz2rp0UED4e,192.168.28.21,5353,224.0.0.251,5353,udp,dns,0 days 00:00:03.072039,756,0,S0,T,F,0,D,2,812,0,0,
2024-12-16 10:09:30.517050982,C959Ly1ACgoG1KeJN4,192.168.28.22,5353,224.0.0.251,5353,udp,dns,0 days 00:00:49.052383,1645,0,S0,T,F,0,D,12,1981,0,0,
2024-12-16 10:09:30.517119884,CzAzpE12wEgT4kKFEj,fe80::143a:ca02:54c1:6278,5353,ff02::fb,5353,udp,dns,0 days 00:00:49.052363,1645,0,S0,T,F,0,D,12,2221,0,0,
2024-12-16 10:10:29.708861113,CoWLpg3ENmWJS4zAY3,192.168.28.36,5353,224.0.0.251,5353,udp,dns,,,,S0,T,F,0,D,1,73,0,0,
2024-12-16 10:10:29.708934069,CdScAER4gQh37Cnw9,fe80::884:7f69:9c28:a913,5353,ff02::fb,5353,udp,dns,,,,S0,T,F,0,D,1,93,0,0,
2024-12-16 10:09:46.085095882,C1JhwMjIXUKFsRX7,192.168.28.11,60546,255.255.255.255,8610,udp,,0 days 00:00:00.000053,32,0,S0,T,T,0,D,2,88,0,0,
2024-12-16 10:09:43.105464935,CaQvHg6CgFy689kq5,192.168.28.229,55641,239.255.255.250,1900,udp,,0 days 00:00:03.002195,692,0,S0,T,F,0,D,4,804,0,0,
2024-12-16 10:09:49.668431044,CZFP2SyEsEVg0Vzsh,192.168.28.208,60486,255.255.255.255,8610,udp,,0 days 00:00:00.000067,32,0,S0,T,T,0,D,2,88,0,0,
2024-12-16 10:10:42.917483091,Cq3PpF1HFfFIF9dMC8,fe80::1ceb:c7eb:adfd:942d,5353,ff02::fb,5353,udp,dns,0 days 00:00:03.277682,2309,0,S0,T,F,0,D,11,2837,0,0,
