ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
2024-12-16 10:07:24.481462002,CFlP9u2ogr6zdxNKnf,192.168.28.229,42633,192.168.28.1,53,udp,dns,0 days 00:00:00.007621,90,90,SF,T,T,0,Dd,1,118,1,118,
2024-12-16 10:07:24.489712000,Cah8TRiGbQBhKB6o3,192.168.28.229,56364,192.168.28.1,53,udp,dns,0 days 00:00:00.006819,90,90,SF,T,T,0,Dd,1,118,1,118,
2024-12-16 10:07:24.497167110,CVnLBm32v4NFFmqhO5,192.168.28.229,38730,192.168.28.1,53,udp,dns,0 days 00:00:00.008805,90,90,SF,T,T,0,Dd,1,118,1,118,
2024-12-16 10:07:24.506783008,CnFNLP33HJqwiVA899,192.168.28.229,35275,192.168.28.1,53,udp,dns,0 days 00:00:00.007477,90,90,SF,T,T,0,Dd,1,118,1,118,
2024-12-16 10:07:24.514995098,Coggl310zHzaF6NZ7b,192.168.28.229,57703,192.168.28.1,53,udp,dns,0 days 00:00:00.007664,90,90,SF,T,T,0,Dd,1,118,1,118,
2024-12-16 10:07:24.523329020,CclOJOGAtIW7QeXWe,192.168.28.229,41460,192.168.28.1,53,udp,dns,0 days 00:00:00.006838,90,90,SF,T,T,0,Dd,1,118,1,118,
2024-12-16 10:07:24.530797005,Cr7WbO1XD3UEULnhW8,192.168.28.229,50922,192.168.28.1,53,udp,dns,0 days 00:00:00.006819,90,90,SF,T,T,0,Dd,1,118,1,118,
2024-12-16 10:07:24.538229942,CSo91Z1jVPx8qp6nM6,192.168.28.229,48875,192.168.28.1,53,udp,dns,0 days 00:00:00.006816,90,90,SF,T,T,0,Dd,1,118,1,118,
2024-12-16 10:07:24.545768976,CTCtXv1I7bcYT8f3Qj,192.168.28.229,35440,192.168.28.1,53,udp,dns,0 days 00:00:00.007822,90,90,SF,T,T,0,Dd,1,118,1,118,
2024-12-16 10:07:24.554935932,Ci29xR3a7nk4JHirP2,192.168.28.229,38614,192.168.28.1,53,udp,dns,0 days 00:00:00.005863,45,45,SF,T,T,0,Dd,1,73,1,73,
2024-12-16 10:07:24.561134100,CAlnCm5E2znsXL4c,192.168.28.229,54505,192.168.28.1,53,udp,dns,0 days 00:00:00.004241,41,41,SF,T,T,0,Dd,1,69,1,69,
2024-12-16 10:07:24.565702915,Cjs68x3ip63hJDiKia,192.168.28.229,56102,192.168.28.1,53,udp,dns,0 days 00:00:00.003992,41,41,SF,T,T,0,Dd,1,69,1,69,
2024-12-16 10:07:24.570008993,CNg8b72AnBG5hZNB5a,192.168.28.229,41991,192.168.28.1,53,udp,dns,0 days 00:00:00.004352,41,41,SF,T,T,0,Dd,1,69,1,69,
2024-12-16 10:07:24.574680090,CucDjcJ7t9zvcFXC,192.168.28.229,36854,192.168.28.1,53,udp,dns,0 days 00:00:00.004157,41,41,SF,T,T,0,Dd,1,69,1,69,
2024-12-16 10:07:24.579144955,CXAEhe4iysFWoQwdg9,192.168.28.229,49537,192.168.28.1,53,udp,dns,0 days 00:00:00.004689,40,40,SF,T,T,0,Dd,1,68,1,68,
2024-12-16 10:07:24.584182024,CEp5le2Y404jEDCz9b,192.168.28.229,60011,192.168.28.1,53,udp,dns,0 days 00:00:00.005341,40,40,SF,T,T,0,Dd,1,68,1,68,
2024-12-16 10:07:24.589843988,CtV4XI36xvQgjBKmfe,192.168.28.229,59913,192.168.28.1,53,udp,dns,0 days 00:00:00.006569,41,41,SF,T,T,0,Dd,1,69,1,69,
2024-12-16 10:07:24.596949100,CttTWp4DgciVgsJIN3,192.168.28.229,53508,192.168.28.1,53,udp,dns,0 days 00:00:00.007271,90,90,SF,T,T,0,Dd,1,118,1,118,
2024-12-16 10:07:24.604878902,Cd3grx260COm3PeHkc,192.168.28.229,38993,192.168.28.1,53,udp,dns,0 days 00:00:00.008109999,90,90,SF,T,T,0,Dd,1,118,1,118,
